Brand,Model,Price,Year,KM,City
Volkswagen,Passat,739.000 TL,2012,270.000,Ankara/Sincan
Volkswagen,VW CC,875.000 TL,2013,270.000,Bursa/Yıldırım
Renault,Megane,899.750 TL,2018,166.000,Konya/Karatay
Opel,Astra,529.750 TL,2013,252.000,İzmir/Bornova
Ford,Focus,965.000 TL,2020,165.000,İstanbul/Esenyurt
Volkswagen,Jetta,718.750 TL,2012,154.000,Kocaeli/Körfez
BMW,3 Serisi,2.160.000 TL,2019,85.000,İstanbul/Esenyurt
Mercedes-Benz,E Serisi,2.455.000 TL,2017,110.000,İstanbul/Başakşehir
Opel,Vectra,320.000 TL,1997,321.000,Kırıkkale/Merkez
Fiat,Egea,665.000 TL,2017,198.000,Ankara/Yenimahalle
Mercedes-Benz,E Serisi,1.218.000 TL,2004,195.000,Ankara/Yenimahalle
Volkswagen,Passat,1.655.000 TL,2020,57.500,İstanbul/Gaziosmanpaşa
Volkswagen,Passat,1.345.000 TL,2015,188.000,İstanbul/Sultanbeyli
Volkswagen,Passat,979.000 TL,2015,217.000,Ankara/Sincan
Fiat,Egea,809.999 TL,2023,16.000,İstanbul/Şişli
Hyundai,i20,825.000 TL,2020,102.000,İstanbul/Avcılar
BMW,3 Serisi,1.325.000 TL,2016,142.000,İstanbul/Ümraniye
Mercedes-Benz,C Serisi,1.275.000 TL,2011,134.000,İstanbul/Ümraniye
Ford,Focus,485.000 TL,2011,290.000,Diyarbakır/Yenişehir
Volkswagen,Passat,1.875.000 TL,2017,29.000,Muş/Malazgirt
Dacia,Sandero,870.000 TL,2016,8.000,Yozgat/Sorgun
Renault,Clio,764.000 TL,2020,121.000,İstanbul/Bağcılar
Renault,Megane,1.299.000 TL,2023,11.600,İstanbul/Beylikdüzü
Mercedes-Benz,E Serisi,552.000 TL,1994,426.000,Artvin/Arhavi
Mercedes-Benz,CLA,1.595.000 TL,2016,110.525,Konya/Ereğli
Skoda,Octavia,2.400.000 TL,2023,72.000,Tekirdağ/Çerkezköy
Hyundai,i20,879.000 TL,2017,56.000,İstanbul/Küçükçekmece
Renault,Talisman,1.175.000 TL,2018,140.000,İstanbul/Sancaktepe
Seat,Leon,805.000 TL,2017,256.000,Elazığ/Merkez
Opel,Insignia,970.000 TL,2017,152.000,Tekirdağ/Süleymanpaşa
Mercedes-Benz,C Serisi,1.395.000 TL,2015,182.000,İstanbul/Beşiktaş
Renault,Megane,698.000 TL,2012,148.000,İstanbul/Bağcılar
Volkswagen,Passat,1.055.000 TL,2016,161.000,Antalya/Kepez
Mercedes-Benz,E Serisi,2.695.000 TL,2017,75.000,İstanbul/Ümraniye
Hyundai,i20,935.000 TL,2021,65.000,Ankara/Yenimahalle
Toyota,Corolla,879.750 TL,2018,102.000,Samsun/Bafra
Toyota,Corolla,879.750 TL,2018,102.000,Samsun/Bafra
Audi,A3,1.224.950 TL,2017,96.000,İstanbul/Bağcılar
Renault,Clio,829.500 TL,2021,125.000,İstanbul/Maltepe
Renault,Megane,525.000 TL,2011,235.000,Ankara/Beypazarı
Renault,Clio,325.000 TL,2002,150.000,İstanbul/Ümraniye
Opel,Corsa,1.065.000 TL,2023,16.000,Zonguldak/Ereğli
Fiat,Egea,730.000 TL,2020,48.206,Ankara/Keçiören
Volkswagen,Passat,1.885.000 TL,2020,90.000,Zonguldak/Ereğli
Peugeot,301,648.000 TL,2019,120.000,İzmir/Buca
BMW,5 Serisi,1.525.000 TL,2015,199.000,İstanbul/Bakırköy
Toyota,Corolla,1.037.950 TL,2020,98.920,İstanbul/Sancaktepe
Fiat,Albea,549.000 TL,2011,55.000,Bursa/Osmangazi
Citroen,C-Elysée,465.000 TL,2015,209.000,Kocaeli/Çayırova
